"ProteinGroup","ProteinName","Genes","UniprotID"
"Q9UL68","MYT1L_HUMAN","MYT1L","Q9UL68"
"O15327","INP4B_HUMAN","INPP4B","O15327"
"Q16775","GLO2_HUMAN","HAGH","Q16775"
"O75356","ENTP5_HUMAN","ENTPD5","O75356"
"Q9ULW8","PADI3_HUMAN","PADI3","Q9ULW8"
"P07900","HS90A_HUMAN","HSP90AA1","P07900"
"Q9NPQ8","RIC8A_HUMAN","RIC8A","Q9NPQ8"
"P42224","STAT1_HUMAN","STAT1","P42224"
"Q8N2G8","GHDC_HUMAN","GHDC","Q8N2G8"
"O60315","ZEB2_HUMAN","ZEB2","O60315"
"Q9H2W6","RM46_HUMAN","MRPL46","Q9H2W6"
"Q9H269","VPS16_HUMAN","VPS16","Q9H269"
"Q15043","S39AE_HUMAN","SLC39A14","Q15043"
"Q8IV08","PLD3_HUMAN","PLD3","Q8IV08"
"Q7Z7M9","GALT5_HUMAN","GALNT5","Q7Z7M9"
"Q1KMD3","HNRL2_HUMAN","HNRNPUL2","Q1KMD3"
"Q9P0J1","PDP1_HUMAN","PDP1","Q9P0J1"
"Q6IAN0","DRS7B_HUMAN","DHRS7B","Q6IAN0"
"A6NM10;Q8IXF9","AQ12A_HUMAN;AQ12B_HUMAN","AQP12A;AQP12B","Q8IXF9;A6NM10"
"P06280","AGAL_HUMAN","GLA","P06280"
"Q9NUQ8","ABCF3_HUMAN","ABCF3","Q9NUQ8"
"Q05193;Q9UQ16","DYN1_HUMAN;DYN3_HUMAN","DNM1;DNM3","Q9UQ16;Q05193"
"P06865","HEXA_HUMAN","HEXA","P06865"
"P26232;P35221","CTNA1_HUMAN;CTNA2_HUMAN","CTNNA1;CTNNA2","P35221;P26232"
"Q9NRG1","PRDC1_HUMAN","PRTFDC1","Q9NRG1"
"Q10588","BST1_HUMAN","BST1","Q10588"
"Q9UM22","EPDR1_HUMAN","EPDR1","Q9UM22"
"P01031","CO5_HUMAN","C5","P01031"
"Q03701","CEBPZ_HUMAN","CEBPZ","Q03701"
"Q70J99","UN13D_HUMAN","UNC13D","Q70J99"
"P07355","ANXA2_HUMAN","ANXA2","P07355;A6NMY6"
"P11678","PERE_HUMAN","EPX","P11678"
"Q712K3","UB2R2_HUMAN","UBE2R2","Q712K3"
"O95870","ABHGA_HUMAN","ABHD16A","O95870"
"Q9GZT8","NIF3L_HUMAN","NIF3L1","Q9GZT8"
